fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
23600000,1,0,1,1,4,0,1,0,0,25
0,1,1,3,0,29,0,0,0,0,25
0,1,1,2,0,0,0,0,0,0,25
1750000,4,0,7,1,28,0,1,0,0,25
0,2,0,4,1,10,0,0,0,0,25
0,1,1,6,0,0,0,0,0,0,25
0,1,0,9,0,0,0,0,0,0,25
33386478,1,0,1,4,4,0,0,0,0,25
2060000,1,0,1,2,2,0,0,0,0,25
8000000,1,1,5,0,35,3,0,0,0,25
0,1,0,3,0,0,0,0,0,0,25
45500000,2,1,5,4,15,0,0,1,0,25
20000000,1,0,1,4,11,0,0,0,0,25
14163510,1,0,4,0,2,0,0,1,0,25
177800000,3,1,5,15,89,0,0,1,1,48
39800000,2,1,4,5,38,0,0,0,0,25
50100000,2,1,9,2,90,102,0,0,0,31
90315000,2,0,5,2,112,2,1,0,0,25
21050000,4,0,9,5,15,1,0,0,0,25
21050000,2,1,11,5,15,8,1,0,0,25
11900000,1,0,1,5,6,0,0,0,0,25
11900000,1,0,1,5,6,0,0,0,0,25
315000,1,0,5,2,5,0,1,0,0,25
315000,1,0,3,2,5,0,1,0,1,25
144760181,2,0,7,1,12,0,0,0,0,25
0,1,0,4,0,0,0,0,0,0,25
2500000,1,0,3,0,2,4,0,1,1,36
0,1,0,1,1,2,0,1,0,0,25
0,1,0,1,1,2,0,0,0,0,25
0,1,0,2,1,2,0,1,0,1,25
25000000,1,0,1,1,19,0,0,0,0,54
25000000,1,0,1,1,19,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
1500000,2,1,15,2,14,0,0,0,0,25
1200000,3,1,10,0,1,1,0,0,0,25
36000000,1,0,1,1,14,0,0,0,1,52
36000000,1,0,1,1,14,0,0,0,0,25
21400000,1,1,6,1,6,1,0,0,0,25
6000000,6,1,33,0,2,2,0,0,0,25
6000000,1,1,9,0,2,0,0,0,0,25
14400000,1,1,3,1,5,1,0,0,0,25
14400000,1,0,1,1,5,0,0,0,0,25
14400000,2,0,2,1,5,0,0,0,0,25
0,1,1,25,0,1,0,1,0,0,25
4300000,2,0,2,0,7,0,0,0,0,25
0,1,0,1,0,7,0,0,0,0,25
0,1,0,1,0,7,0,0,0,0,25
4000000,1,0,1,1,8,0,0,0,0,25
4000000,1,0,1,1,8,0,0,0,0,25
2741668,1,0,4,0,2,0,0,0,0,25
169007658,3,0,5,2,72,1,0,1,0,25
1500000,2,0,8,0,0,3,0,0,0,25
505185,1,0,4,1,0,0,0,0,0,25
0,1,0,7,0,0,0,0,0,0,25
1100000,1,0,2,0,0,0,0,0,0,25
0,1,1,9,0,5,0,0,1,0,25
0,1,0,1,1,4,0,0,0,0,25
343000000,7,1,14,5,246,48,1,0,0,39
0,1,0,2,0,0,0,0,0,0,25
6000000,1,1,5,0,16,4,0,0,0,25
0,1,1,19,0,0,6,0,0,0,46
0,1,0,1,0,0,0,0,0,0,25
0,1,1,4,0,0,1,0,0,0,25
0,1,0,2,0,0,0,0,0,0,25
193899314,3,1,6,1,2,0,1,0,1,25
0,2,0,7,0,1,0,0,1,0,25
34799900,1,0,2,0,0,0,0,0,0,25
0,1,1,10,0,4,0,0,1,0,48
0,2,0,3,0,2,0,0,0,0,25
34000000,1,1,7,0,107,98,0,0,0,46
34000000,2,0,2,3,111,3,0,0,0,25
34000000,1,1,7,0,107,3,1,0,0,50
